Wk,Date,Winner,,Loser
1,Aug 24 2019,Florida,,Miami (FL)
1,Aug 24 2019,Hawaii,,Arizona
2,Aug 29 2019,Alabama-Birmingham,,Alabama State
2,Aug 29 2019,Arizona State,,Kent State
2,Aug 29 2019,Bowling Green State,,Morgan State
2,Aug 29 2019,Buffalo,,Robert Morris
2,Aug 29 2019,Central Arkansas,@,Western Kentucky
2,Aug 29 2019,Central Florida,,Florida A&M
2,Aug 29 2019,Central Michigan,,Albany
2,Aug 29 2019,Cincinnati,,UCLA
2,Aug 29 2019,Clemson,,Georgia Tech
2,Aug 29 2019,Connecticut,,Wagner
2,Aug 29 2019,Minnesota,,South Dakota State
2,Aug 29 2019,San Jose State,,Northern Colorado
2,Aug 29 2019,Texas A&M,,Texas State
2,Aug 29 2019,Tulane,,Florida International
2,Aug 29 2019,Utah,@,Brigham Young
2,Aug 30 2019,Army,,Rice
2,Aug 30 2019,Colorado,,Colorado State
2,Aug 30 2019,Michigan State,,Tulsa
2,Aug 30 2019,Nevada,,Purdue
2,Aug 30 2019,Oklahoma State,@,Oregon State
2,Aug 30 2019,Rutgers,,Massachusetts
2,Aug 30 2019,Wake Forest,,Utah State
2,Aug 30 2019,Wisconsin,@,South Florida
2,Aug 31 2019,Air Force,,Colgate
2,Aug 31 2019,Alabama,,Duke
2,Aug 31 2019,Appalachian State,,East Tennessee State
2,Aug 31 2019,Arkansas,,Portland State
2,Aug 31 2019,Auburn,,Oregon
2,Aug 31 2019,Baylor,,Stephen F. Austin
2,Aug 31 2019,Boise State,,Florida State
2,Aug 31 2019,Boston College,,Virginia Tech
2,Aug 31 2019,California,,California-Davis
2,Aug 31 2019,Charlotte,,Gardner-Webb
2,Aug 31 2019,Eastern Michigan,@,Coastal Carolina
2,Aug 31 2019,Georgia,@,Vanderbilt
2,Aug 31 2019,Georgia State,@,Tennessee
2,Aug 31 2019,Illinois,,Akron
2,Aug 31 2019,Indiana,,Ball State
2,Aug 31 2019,Iowa,,Miami (OH)
2,Aug 31 2019,Iowa State,,Northern Iowa
2,Aug 31 2019,Kansas,,Indiana State
2,Aug 31 2019,Kansas State,,Nicholls State
2,Aug 31 2019,Kentucky,,Toledo
2,Aug 31 2019,Louisiana State,,Georgia Southern
2,Aug 31 2019,Louisiana-Monroe,,Grambling State
2,Aug 31 2019,Marshall,,Virginia Military Institute
2,Aug 31 2019,Maryland,,Howard
2,Aug 31 2019,Memphis,,Mississippi
2,Aug 31 2019,Michigan,,Middle Tennessee State
2,Aug 31 2019,Mississippi State,,Louisiana
2,Aug 31 2019,Navy,,Holy Cross
2,Aug 31 2019,Nebraska,,South Alabama
2,Aug 31 2019,Nevada-Las Vegas,,Southern Utah
2,Aug 31 2019,New Mexico,,Sam Houston State
2,Aug 31 2019,North Carolina,,South Carolina
2,Aug 31 2019,North Carolina State,,East Carolina
2,Aug 31 2019,North Texas,,Abilene Christian
2,Aug 31 2019,Northern Illinois,,Illinois State
2,Aug 31 2019,Ohio,,Rhode Island
2,Aug 31 2019,Ohio State,,Florida Atlantic
2,Aug 31 2019,Old Dominion,,Norfolk State
2,Aug 31 2019,Penn State,,Idaho
2,Aug 31 2019,San Diego State,,Weber State
2,Aug 31 2019,Southern California,,Fresno State
2,Aug 31 2019,Southern Methodist,@,Arkansas State
2,Aug 31 2019,Southern Mississippi,,Alcorn State
2,Aug 31 2019,Stanford,,Northwestern
2,Aug 31 2019,Syracuse,@,Liberty
2,Aug 31 2019,Temple,,Bucknell
2,Aug 31 2019,Texas,,Louisiana Tech
2,Aug 31 2019,Texas Christian,,Arkansas-Pine Bluff
2,Aug 31 2019,Texas Tech,,Montana State
2,Aug 31 2019,Texas-El Paso,,Houston Baptist
2,Aug 31 2019,Texas-San Antonio,,Incarnate Word
2,Aug 31 2019,Troy,,Campbell
2,Aug 31 2019,Virginia,@,Pittsburgh
2,Aug 31 2019,Washington,,Eastern Washington
2,Aug 31 2019,Washington State,,New Mexico State
2,Aug 31 2019,West Virginia,,James Madison
2,Aug 31 2019,Western Michigan,,Monmouth
2,Aug 31 2019,Wyoming,,Missouri
2,Sep 1 2019,Oklahoma,,Houston
2,Sep 2 2019,Notre Dame,@,Louisville
3,Sep 6 2019,Arizona State,,Sacramento State
3,Sep 6 2019,Boise State,,Marshall
3,Sep 6 2019,Virginia,,William & Mary
3,Sep 6 2019,Wake Forest,@,Rice
3,Sep 7 2019,Alabama,,New Mexico State
3,Sep 7 2019,Alabama-Birmingham,@,Akron
3,Sep 7 2019,Appalachian State,,Charlotte
3,Sep 7 2019,Arizona,,Northern Arizona
3,Sep 7 2019,Arkansas State,@,Nevada-Las Vegas
3,Sep 7 2019,Auburn,,Tulane
3,Sep 7 2019,Ball State,,Fordham
3,Sep 7 2019,Baylor,,Texas-San Antonio
3,Sep 7 2019,Boston College,,Richmond
3,Sep 7 2019,Brigham Young,@,Tennessee
3,Sep 7 2019,California,@,Washington
3,Sep 7 2019,Central Florida,@,Florida Atlantic
3,Sep 7 2019,Clemson,,Texas A&M
3,Sep 7 2019,Coastal Carolina,@,Kansas
3,Sep 7 2019,Colorado,,Nebraska
3,Sep 7 2019,Colorado State,,Western Illinois
3,Sep 7 2019,Duke,,North Carolina A&T
3,Sep 7 2019,East Carolina,,Gardner-Webb
3,Sep 7 2019,Florida,,Tennessee-Martin
3,Sep 7 2019,Florida State,,Louisiana-Monroe
3,Sep 7 2019,Georgia,,Murray State
3,Sep 7 2019,Georgia Southern,,Maine
3,Sep 7 2019,Georgia State,,Furman
3,Sep 7 2019,Georgia Tech,,South Florida
3,Sep 7 2019,Hawaii,,Oregon State
3,Sep 7 2019,Houston,,Prairie View A&M
3,Sep 7 2019,Illinois,@,Connecticut
3,Sep 7 2019,Indiana,,Eastern Illinois
3,Sep 7 2019,Iowa,,Rutgers
3,Sep 7 2019,Kansas State,,Bowling Green State
3,Sep 7 2019,Kent State,,Kennesaw State
3,Sep 7 2019,Kentucky,,Eastern Michigan
3,Sep 7 2019,Louisiana,,Liberty
3,Sep 7 2019,Louisiana State,@,Texas
3,Sep 7 2019,Louisiana Tech,,Grambling State
3,Sep 7 2019,Louisville,,Eastern Kentucky
