Wk,Date,Winner,,Loser
18,Dec 20 2019,Buffalo,,Charlotte
18,Dec 20 2019,Kent State,,Utah State
18,Dec 21 2019,Appalachian State,,Alabama-Birmingham
18,Dec 21 2019,Arkansas State,,Florida International
18,Dec 21 2019,Florida Atlantic,,Southern Methodist
18,Dec 21 2019,Liberty,,Georgia Southern
18,Dec 21 2019,San Diego State,,Central Michigan
18,Dec 21 2019,Washington,,Boise State
18,Dec 23 2019,Central Florida,,Marshall
19,Dec 24 2019,Hawaii,,Brigham Young
19,Dec 26 2019,Louisiana Tech,,Miami (FL)
19,Dec 26 2019,Pittsburgh,,Eastern Michigan
19,Dec 27 2019,Air Force,,Washington State
19,Dec 27 2019,Iowa,,Southern California
19,Dec 27 2019,Michigan State,,Wake Forest
19,Dec 27 2019,North Carolina,,Temple
19,Dec 27 2019,Texas A&M,,Oklahoma State
19,Dec 28 2019,Clemson,,Ohio State
19,Dec 28 2019,Louisiana State,,Oklahoma
19,Dec 28 2019,Notre Dame,,Iowa State
19,Dec 28 2019,Penn State,,Memphis
20,Dec 30 2019,California,,Illinois
20,Dec 30 2019,Florida,,Virginia
20,Dec 30 2019,Louisville,,Mississippi State
20,Dec 30 2019,Western Kentucky,,Western Michigan
21,Dec 31 2019,Arizona State,,Florida State
21,Dec 31 2019,Kentucky,,Virginia Tech
21,Dec 31 2019,Navy,,Kansas State
21,Dec 31 2019,Texas,,Utah
21,Dec 31 2019,Wyoming,,Georgia State
21,Jan 1 2020,Alabama,,Michigan
21,Jan 1 2020,Georgia,,Baylor
21,Jan 1 2020,Minnesota,,Auburn
21,Jan 1 2020,Oregon,,Wisconsin
21,Jan 2 2020,Cincinnati,,Boston College
21,Jan 2 2020,Tennessee,,Indiana
21,Jan 3 2020,Ohio,,Nevada
21,Jan 4 2020,Tulane,,Southern Mississippi
21,Jan 6 2020,Louisiana,,Miami (OH)
22,Jan 13 2020,Louisiana State,,Clemson
