Week 1
Texans,Chiefs,2
Eagles,Football Team,2
Seahawks,Falcons,1
Browns,Ravens,2
Jets,Bills,2
Raiders,Panthers,1
Bears,Lions,1
Colts,Jaguars,2
Packers,Vikings,1
Dolphins,Patriots,2
Chargers,Bengals,1
Buccaneers,Saints,2
Cardinals,49ers,1
Cowboys,Rams,2
Steelers,Giants,1
Titans,Broncos,1

Week 2
Bengals,Browns,2
Rams,Eagles,1
Panthers,Buccaneers,2
Jaguars,Titans,2
Giants,Bears,2
Falcons,Cowboys,2
Lions,Packers,2
Vikings,Colts,2
Bills,Dolphins,1
49ers,Jets,1
Broncos,Steelers,2
Football Team,Cardinals,2
Ravens,Texans,1
Chiefs,Chargers,1
Patriots,Seahawks,2
Saints,Raiders,2

Week 3
Dolphins,Jaguars,1
//Bengals,Eagles,T
Bears,Falcons,1
Rams,Bills,2
Football Team,Browns,2
Titans,Vikings,1
Raiders,Patriots,2
49ers,Giants,1
Texans,Steelers,2
Jets,Colts,2
Panthers,Chargers,1
Lions,Cardinals,1
Buccaneers,Broncos,1
Cowboys,Seahawks,2
Packers,Saints,1
Chiefs,Ravens,1

Week 4
Broncos,Jets,1
Eagles,49ers,1
Colts,Bears,1
Saints,Lions,1
Cardinals,Panthers,2
Jaguars,Bengals,2
Browns,Cowboys,1
Vikings,Texans,1
Seahawks,Dolphins,1
Chargers,Buccaneers,2
Ravens,Football Team,1
Giants,Rams,2
Patriots,Chiefs,2
Bills,Raiders,1
Falcons,Packers,2

Week 5
Buccaneers,Bears,2
Eagles,Steelers,2
Panthers,Falcons,1
Bengals,Ravens,2
Jaguars,Texans,2
Raiders,Chiefs,1
Cardinals,Jets,1
Bills,Titans,2
Rams,Football Team,1
Dolphins,49ers,1
Colts,Browns,2
Giants,Cowboys,2
Vikings,Seahawks,2
Chargers,Saints,2

Week 6
Ravens,Eagles,1
Bears,Panthers,1
Bengals,Colts,2
Lions,Jaguars,1
Falcons,Vikings,1
Football Team,Giants,2
Browns,Steelers,2
Texans,Titans,2
Broncos,Patriots,1
Dolphins,Jets,1
Packers,Buccaneers,2
Rams,49ers,2
Cardinals,Cowboys,
Chiefs,Bills,

Week 7
Giants,Eagles,

Lions,Falcons,
Steelers,Ravens,
Browns,Bengals,
Chargers,Dolphins,
Panthers,Saints,
Bills,Jets,
Cowboys,Football Team,
Packers,Texans,
Seahawks,Cardinals,
49ers,Patriots,
Chiefs,Broncos,
Buccaneers,Raiders,

Bears,Rams,

Week 8
Falcons,Panthers,

Cowboys,Eagles,
Colts,Lions,
Vikings,Packers,
Patriots,Bills,
Titans,Bengals,
Raiders,Browns,
Jets,Chiefs,
Rams,Dolphins,
Jaguars,Chargers,
Saints,Bears,
49ers,Seahawks,

Buccaneers,Giants,

Week 9
Packers,49ers,

Broncos,Falcons,
Seahawks,Bills,
Ravens,Colts,
Texans,Jaguars,
Panthers,Chiefs,
Lions,Vikings,
Bears,Titans,
Giants,Football Team,
Raiders,Chargers,
Dolphins,Cardinals,
Steelers,Cowboys,
Saints,Buccaneers,

Patriots,Jets,

Week 10
Colts,Titans,

Eagles,Giants,
Buccaneers,Panthers,
Texans,Browns,
Football Team,Lions,
Jaguars,Packers,
Bengals,Steelers,
Bills,Cardinals,
Broncos,Raiders,
Jets,Dolphins,
Seahawks,Rams,
49ers,Saints,
Ravens,Patriots,

Vikings,Bears,

Week 11
Cardinals,Seahawks,

Eagles,Browns,
Titans,Ravens,
Lions,Panthers,
Patriots,Texans,
Packers,Colts,
Steelers,Jaguars,
Falcons,Saints,
Bengals,Football Team,
Chargers,Broncos,
Cowboys,Vikings,
Chiefs,Raiders,

Rams,Buccaneers,

Week 12
Texans,Lions,
Football Team,Cowboys,
Ravens,Steelers,

Raiders,Falcons,
Chargers,Bills,
Giants,Bengals,
Titans,Colts,
Browns,Jaguars,
Panthers,Vikings,
Cardinals,Patriots,
Dolphins,Jets,
Saints,Broncos,
49ers,Rams,
Chiefs,Buccaneers,
Bears,Packers,

Seahawks,Eagles

Week 13
Cowboys,Ravens,

Eagles,Packers,
Saints,Falcons,
Lions,Bears,
Colts,Texans,
Raiders,Jets,
Browns,Titans,
Bengals,Dolphins,
Jaguars,Vikings,
Football Team,Steelers,
Rams,Cardinals,
Giants,Seahawks,
Patriots,Chargers,
Broncos,Chiefs,

Bills,49ers,

Week 14
Patriots,Rams,

Saints,Eagles,
Texans,Bears,
Packers,Lions,
Titans,Jaguars,
Broncos,Panthers,
Cowboys,Bengals,
Chiefs,Dolphins,
Cardinals,Giants,
Vikings,Buccaneers,
Colts,Raiders,
Jets,Seahawks,
Falcons,Chargers,
Football Team,49ers,
Steelers,Bills,

Ravens,Browns,

Week 15
Chargers,Raiders,

Eagles,Cardinals,
Bills,Broncos,
Panthers,Packers,
Texans,Colts,
Jets,Rams,
Lions,Titans,
Buccaneers,Falcons,
Jaguars,Ravens,
Patriots,Dolphins,
Bears,Vikings,
Browns,Giants,
Seahawks,Football Team,
Chiefs,Saints,
49ers,Cowboys,

Steelers,Bengals,

Week 16
Vikings,Saints,

Eagles,Cowboys,
49ers,Cardinals,
Buccaneers,Lions,
Dolphins,Raiders,
Broncos,Chargers,
Browns,Jets,
Giants,Ravens,
Bengals,Texans,
Bears,Jaguars,
Falcons,Chiefs,
Colts,Steelers,
Panthers,Football Team,
Rams,Seahawks,
Titans,Packers,

Bills,Patriots,

Week 17
Football Team,Eagles,
Dolphins,Bills,
Saints,Panthers,
Packers,Bears,
Ravens,Bengals,
Steelers,Browns,
Vikings,Lions,
Jaguars,Colts,
Jets,Patriots,
Titans,Texans,
Chargers,Chiefs,
Cowboys,Giants,
Falcons,Buccaneers,
Raiders,Broncos,
Cardinals,Rams,
Seahawks,49ers,

