Week 1
Falcons,Eagles,2
Bills,Ravens,2
//Steelers,Browns,tie
Bengals,Colts,1
Titans,Dolphins,2
49ers,Vikings,2
Texans,Patriots,2
Buccaneers,Saints,1
Jaguars,Giants,1
Chiefs,Chargers,1
Redskins,Cardinals,1
Cowboys,Panthers,2
Seahawks,Broncos,2
Bears,Packers,2
Jets,Lions,1
Rams,Raiders,1

Week 2
Ravens,Bengals,2
Eagles,Buccaneers,2
Panthers,Falcons,2
Chargers,Bills,1
//Vikings,Packers,Tie
Browns,Saints,2
Dolphins,Jets,1
Chiefs,Steelers,1
Texans,Titans,2
Colts,Redskins,1
Cardinals,Rams,2
Lions,49ers,2
Raiders,Broncos,2
Patriots,Jaguars,2
Giants,Cowboys,2
Seahawks,Bears,2

Week 3
Jets,Browns,2
Colts,Eagles,2
Saints,Falcons,1
Broncos,Ravens,2
Bengals,Panthers,2
Giants,Texans,1
Titans,Jaguars,1
49ers,Chiefs,2
Raiders,Dolphins,2
Bills,Vikings,1
Packers,Redskins,2
Chargers,Rams,2
Bears,Cardinals,1
Cowboys,Seahawks,2
Patriots,Lions,2
Steelers,Buccaneers,1

Week 4
Vikings,Rams,2
Eagles,Titans,2
Bengals,Falcons,1
Buccaneers,Bears,2
Lions,Cowboys,2
Bills,Packers,2
Texans,Colts,1
Jets,Jaguars,2
Dolphins,Patriots,2
Seahawks,Cardinals,1
Browns,Raiders,2
49ers,Chargers,2
Saints,Giants,1
Ravens,Steelers,1
Chiefs,Broncos,1

Week 5
Colts,Patriots,2
Vikings,Eagles,1
Titans,Bills,2
Giants,Panthers,2
Dolphins,Bengals,2
Ravens,Browns,2
Packers,Lions,2
Jaguars,Chiefs,2
Broncos,Jets,2
Falcons,Steelers,2
Raiders,Chargers,2
Cardinals,49ers,1
Rams,Seahawks,1
Cowboys,Texans,2
Redkskins,Saints,2

Week 6
Eagles,Giants,1
Buccaneers,Falcons,2
Steelers,Bengals,1
Chargers,Browns,1
Bills,Texans,2
Bears,Dolphins,2
Cardinals,Vikings,2
Colts,Jets,2
Seahawks,Raiders,1
Panthers,Redskins,2
Rams,Broncos,1
Jaguars,Cowboys,2
Ravens,Titans,1
Chiefs,Patriots,2
49ers,Packers,2

Week 7
Broncos,Arizona,1
Panthers,Eagles,1
Titans,Chargers,2
Patriots,Bears,1
Bills,Colts,2
Texans,Jaguars,1
Lions,Dolphins,1
Vikings,Jets,1
Browns,Buccaneers,2
Saints,Ravens,1
Cowboys,Redskins,2
Rams,49ers,1
Bengals,Chiefs,2
Giants,Falcons,2

Week 8
Dolphins,Texans,2
Eagles,Jaguars,1
Ravens,Panthers,2
Jets,Bears,2
Buccaneers,Bengals,2
Seahawks,Lions,1
Broncos,Chiefs,2
Redskins,Giants,1
Browns,Steelers,2
Colts,Raiders,1
49ers,Cardinals,2
Packers,Rams,2
Saints,Vikings,1
Patriots,Bills,1

Week 9
Raiders,49ers,2
Steelers,Ravens,1
Bears,Bills,1
Buccaneers,Panthers,2
Chiefs,Browns,1
Jets,Dolphins,2
Lions,Vikings,2
Falcons,Redskins,1
Texans,Broncos,1
Chargers,Seahawks,1
Rams,Saints,2
Packers,Patriots,2
Titans,Cowboys,1

Week 10
Panthers,Steelers,2
Cowboys,Eagles,1
Lions,Bears,2
Saints,Bengals,1
Falcons,Browns,2
Jaguars,Colts,2
Cardinals,Chiefs,2
Bills,Jets,1
Redskins,Buccaneers,1
Patriots,Titans,2
Chargers,Raiders,1
Dolphins,Packers,2
Seahawks,Rams,2
Giants,49ers,1

Week 11
Packers,Seahawks,2
Eagles,Saints,2
Cowboys,Falcons,1
Bengals,Ravens,2
Panthers,Lions,2
Titans,Colts,2
Buccaneers,Giants,2
Texans,Redskins,1
Steelers,Jaguars,1
Raiders,Cardinals,1
Broncos,Chargers,1
Vikings,Bears,2
Chiefs,Rams,2

Week 12
Bears,Lions,1
Redskins,Cowboys,2
Falcons,Saints,2
Giants,Eagles,2
Raiders,Ravens,2
Jaguars,Bills,2
Seahawks,Panthers,1
Browns,Bengals,1
Patriots,Jets,1
49ers,Buccaneers,2
Cardinals,Chargers,2
Dolphins,Colts,2
Steelers,Broncos,2
Packers,Vikings,2
Titans,Texans,2

Week 13
Saints,Cowboys,2
Ravens,Falcons,1
Broncos,Bengals,1
Rams,Lions,1
Cardinals,Packers,1
Browns,Texans,2
Colts,Jaguars,2
Bills,Dolphins,2
Bears,Giants,2
Panthers,Buccaneers,2
Chiefs,Raiders,1
