Team1,Team2,Winner
Week 1
Perkiomen Valley,Downingtown West,2
Central Bucks South,Springford,2
Neshaminy,North Penn,2
La Salle,Imhotep Charter,2
Pennsbury,Academy Park,2
Penn Wood,Souderton,1
Central Bucks East,Quakertown,2
Central Bucks West,Hatboro-Horsham,1
Upper Moreland,William Tennent,2
Cheltenham,Council Rock South,1
Wissahickon,Martin Luther King,2
Upper Dublin,Norristown,1
Plymouth Whitemarsh,Downingtown East,2
Kennett,Avon Grove,2
Bensalem,Frankford,2
Pennridge,Delaware Valley,1
Council Rock North,East,2
Harry S. Truman,Methacton,1
Coatesville,Harrisburg,1
Cumberland Valley,Bishop McDevitt,2
Bishop Shanahan,Benjamin Franklin,1
Henderson,Oxford,2
Roman Catholic,Conwell-Egan Catholic,2
Unionville,Garnet Valley,2
Wilson,Central Dauphin,2
Exeter Township,Berks Catholic,2
Boyertown,Upper Perkiomen,1
Owen J. Roberts,Conestoga,1
Pope John Paul II,Kutztown,1


Week 2
Perkiomen Valley,Downingtown East,2
Downingtown West,Central Bucks South,1
Neshaminy,Pennridge,1
North Penn,La Salle,1
Pennsbury,Penn Wood,2
Academy Park,Unionville,1
Central Bucks East,Hatboro-Horsham,1
Quakertown,Souderton,1
Central Bucks West,Council Rock South,2
Upper Moreland,Sun Valley,2
Cheltenham,Bishop McDevitt,1
Wissahickon,Council Rock North,2
Upper Dublin,Central,1
Plymouth Whitemarsh,Abington,2
Kennett,Chichester,2
Bensalem,William Tennent,2
Harry S. Truman,Avon Grove,1
Methacton,Pottsgrove,2
Coatesville,Middletown South,1
Harrisburg,Reading,1
Cumberland Valley,Central York,2
Bishop Shanahan,Prep Charter,1
Henderson,Bayard Rustin,2
East,Pottstown,1
Roman Catholic,Malvern Prep,2
Springford,Wayne Valley,1
Wilson,Governor Mifflin,1
Exeter Township,Boyertown,1
Norristown,Upper Merion,2
Owen J. Roberts,Daniel Boone,1
Pope John Paul II,New Hope-Solebury,1


Week 3
Perkiomen Valley,Pennridge,1
Downingtown West,Neshaminy,1
Central Bucks South,Council Rock South,2
North Penn,Pennsbury,1
La Salle,Malvern Prep,2
Academy Park,Great Valley,1
Penn Wood,Council Rock North,1
Central Bucks East,Bensalem,1
Quakertown,Central Bucks West,1
Souderton,Hatboro-Horsham,2
Upper Moreland,Upper Perkiomen,1
Cheltenham,Abington,2
Wissahickon,Lansdale Catholic,2
Plymouth Whitemarsh,Norristown,2
Kennett,Phoenixville,2
William Tennent,Harry S. Truman,2
Methacton,Upper Merion,2
Avon Grove,Unionville,1
Coatesville,Cumberland Valley,1
Harrisburg,Cedar Cliff,1
Bishop Shanahan,Daniel Boone,2
Henderson,Glen Mills,2
East,Bayard Rustin,1
Downingtown East,Roman Catholic,1
Springford,Wilson,2
Wayne Valley,Wayne Hills,2
Exeter Township,Lower Dauphin,1
Boyertown,Pottsgrove,2
Owen J. Roberts,Oxford,2
Pope John Paul II,Chichester,1


Week 4
Perkiomen Valley,Interboro,1
Downingtown West,Henderson,1
Central Bucks South,Central Bucks West,1
Neshaminy,Council Rock North,1
North Penn,Pennridge,1
La Salle,Haverford,1
Pennsbury,Central Bucks East,1
Academy Park,Simon Gratz,1
Penn Wood,Oxford,1
Quakertown,Upper Moreland,1
Souderton,William Tennent,1
Cheltenham,Norristown,1
Wissahickon,Plymouth Whitemarsh,2
Upper Dublin,Hatboro-Horsham,1
Kennett,Bayard Rustin,2
Bensalem,Abington,2
Council Rock South,Harry S. Truman,1
Methacton,Pottstown,2
Avon Grove,Downingtown East,2
Coatesville,Bishop Shanahan,1
Harrisburg,Central Dauphin East,1
Cumberland Valley,Central Dauphin,2
East,Sun Valley,2
Roman Catholic,Springside Chestnut Hill,2
Unionville,Great Valley,1
Springford,Exeter Township,1
Wayne Valley,Nutley,1
Wilson,Manheim Central,2
Boyertown,Berks Catholic,2
Owen J. Roberts,Upper Merion,1
Pope John Paul II,Schuylkill Valley,1


Week 5
Perkiomen Valley,Owen J. Roberts,1
Downingtown West,Great Valley,1
Central Bucks South,Bensalem,1
Neshaminy,Harry S. Truman,2
North Penn,Central Bucks East,1
La Salle,St. Joseph's Prep,2
Pennsbury,Council Rock North,1
Academy Park,Martinsburg,2
Penn Wood,Bayard Rustin,2
Quakertown,Cheltenham,2
Souderton,Pennridge,1
Central Bucks West,William Tennent,1
Upper Moreland,Plymouth Whitemarsh,1
Wissahickon,Hatboro-Horsham,2
Upper Dublin,William Penn Charter,2
Kennett,Sun Valley,1
Council Rock South,Abington,1
Methacton,Boyertown,1
Avon Grove,East,1
Coatesville,Henderson,1
Harrisburg,Cumberland Valley,1
Bishop Shanahan,Downingtown East,2
Roman Catholic,Archbishop Wood,2
Unionville,Oxford,1
Springford,Norristown,1
Wayne Valley,Passaic Valley,1
Wilson,Penn Manor,1
Exeter Township,Muhlenberg,1
Pope John Paul II,Upper Perkiomen,1


Week 6
Perkiomen Valley,Norristown,1
Downingtown West,Avon Grove,1
Central Bucks South,William Tennent,1
Neshaminy,Abington,1
North Penn,Council Rock South,1
La Salle,Father Judge,1
Pennsbury,Bensalem,1
Academy Park,Interboro,1
Penn Wood,Chester,1
Central Bucks East,Souderton,2
