Team1,Team2,Winner
Week 1
Benjamin Franklin,Roxborough,1
Boys Latin Charter,George Washington,1
Waynesburg Central,Jefferson-Morgan,1
High School of the Future,West Catholic,2
Bensalem,Frankford,1
Avalon,Baldwin,1
MCNP,Simon Gratz,2
Abington,Northeast,2
Conwell-Egan Catholic,Martin Luther King,1
Harbor Creek,Iroquois,1
Oxford,Kennett,2
Schuylkill Valley,Upper Dauphin Area,2
Central Bucks West,Hatboro-Horsham,1
Athens,Hanover Area,2
Kane,Moniteau,1
Williams Valley,Minersville,1
Kennard-Dale,Pequea Valley,1
Yough,Serra Catholic,2
Old Forge,Carbondale Area,1
Northern Bedford County,Central,2
Palmerton,Palisades,1
New Castle,Shaler Area,1
Indiana,Armstrong,2
Norristown,Upper Dublin,2
New Hope-Solebury,Upper Moreland,2
Hickory,Sharpsville,1
Central Dauphin East,Manheim Township,2
Everett,Juniata Valley,2
Kensington,Springfield Township,1
Cowanesque Valley,Wellsboro,2
Conestoga,Owen J Roberts,2
Archbishop Carroll,Haverford,1
Moon Area,Montour,1
South Side,Sto-Rox,2
Phoenixville,Great Valley,2
Annville-Cleona,Milton Hershey,2
Brookville,Bradford,1
Central Valley,Blackhawk,1
Lebanon,Cedar Crest,2
Seneca,Corry,2
Greensburg Salem,Hempfield Area,2
Washington,Laurel Highland,1
Canton,Towanda,1
Nativity BVM,Millersburg,2
Shippensburg,Dover,1
Apollo Ridge,Leechburg,1
Keystone Oaks,Brentwood,1
Keystone,Redbank Valley,2
Montrose,Wyalusing Valley,2
General McLane,Slippery Rock,2
Sharon,Wilmington,2
Tussey Mountain,Claysburg Kimmel,1
Burrell,Valley,1
Hamburg,Halifax,1
Ephrata,Warwick,2
Cumberland Valley,Bishop McDevitt,1
Cedar Cliff,Governor Mifflin,1
West Scranton,North Pocono,2
Tamaqua,Line Mountain,1
Hazleton,Pottsville,2
Columbia,Eastern York,1
North Catholic,Seton LaSalle,1
Mechanicsburg,Carlisle,2
Southmoreland,Mt. Pleasant,1
Spring Grove,Lampeter-Strasburg,2
Brownsville,Bentworth,1
Plymouth Whitemarsh,William Tennent,1
Central Bucks South,Spring-Ford,1
Richland,Bishop McCort,1
Freedom,East Stroudsburg North,1
Pine Grove, Northern Lebanon,1
St. Marys,Ridgway/Johnsonburg,2
Juniata.West Perry,2
Mifflinburg,Hughesville,1
Avella,Mapletown,2
Lower Dauphin,Middletown,2
Boyertown,Upper Perkiomen,1
Northeastern,Solanco,1
Freedom Area,Hopewell,1
Lakeview,Maplewood,2
Camp Hill,Lancaster Catholic,2
Mohawk Area,Laurel,2
Palmyra,Hershey,2
Philipsburg-Osceola,West Branch,1
Archbishop Carroll,Haverford,1
Bermudian Springs,New Oxford,2
Jeanette,East Allegheny,1
Northwestern Lehigh,Notre Dame-Green Pond,2
Wyomissing,Twin Valley,1
Wilson Area,Northern Lehigh,2
Dallas,Tunkhannock,1
Pennsbury,Academy Park,2
Mid Valley,Wyoming Area,2
Chartiers Valley,Ringgold,1
Forest Hills,Chestnut Ridge,2
Harrisburg,Coatesville,1
Southern Lehigh,Saucon Valley,1
Susquehanna Township,Manheim Central,2
Girard,Cambridge Springs,2
Downingtown East,Archbishop Ryan,1
Somerset,Bishop Guilfoyle,2
Curwensville,Elk County Catholic,2
Portage,Blacklick,1
Berlin Brothersvalley,Shade,1
Springfield,Penn Wood,2
Penn Hills,Pine-Richland,2
Radnor,Chichester,1
Parkland,Northampton,1
East Stroudsburg South,Whitehall,1
Susquehanna,Riverside,2
Trinity,Delone Catholic,1
Greater Latrobe,Derry,1
Cocalico,Conrad Weiser,1
Westmont Hilltop,Bedford,2
Lehighton,Fleetwood,2
Jershey Shore,Bellefonte,1
Morrisville,Shenandoah Valley,1
Penn Manor,Conestoga Valley,1
Bangor,Catasauqua,1
Fairield,Penns Valley Area,2
Union City,Reynolds,2
Homer-Center,Ligonier Valley,2
Greater Johnstown,Central Cambria,2
Wyoming Valley West,Scranton,1
Red Lion,J.P. McCaskey,1
Meadville,Mercyhurst,1
Upper St. Clair,South Fayette,1
Newport,Steelton-Highspire,2
Pocono Mountain East,Nazareth,2
York County Tech,James Buchanan,2
Grove City,Fort LeBoeuf,1
Beaver Falls,Lincoln,1
State College,Mifflin County,1
Fox Chapel,Peters Township,2
Eastern Lebanon County,Susquenita,2
Pen Argyl,Salisbury Township,2
John Bartram,Bishop Shanahan,2
Cheltenham,Council Rock South,1
Seneca Valley,McDowell,2
Schuylkill Haven,Jim Thorpe,2
Pleasant Valley,Liberty,2
Hampton,Knoch,2
Milton,Shamokin Area,2
York Suburban,York Catholic,1
Council Rock North,East,2
Mount Union,Huntingdon,2
Tyrone,Bellwood-Antis,2
North East,Franklin,2
Greencastle-Antrim,Chambersburg,2
West Mifflin,Mars,2
Elizabethtown,Donegal,1
Strath Haven,Interboro,1
Unionville,Henderson,1
Wilkes-Barre,Crestwood,2
Deer Lakes,Springdale,2
Carrick,Bishop Carroll,2
Neshaminy,North Penn,2
Connellsville,Uniontown,1
Honesdale,Lakeland,2
Saegertown,Titusville,2
Windber,Conemaugh Township,1
Chartiers-Houston,Fort Cherry,1
Exeter Township,Berks Catholic,2
Central Dauphin,Wilson,2
Marian Catholic,Midd-West,2
Clarion Area,Punxsutawney,1
Altoona,Hollidaysburg,2
Mt. Lebanon,Gateway,2
United,Northern Cambria,2
Mount Carmel,Central Columbia,1
Greater Nanticoke Area,Pittson,2
Northwestern,Greenville,2
Lewisburg,Selinsgrove,2
Beaver,Brashear,1
Otto-Eldred/Oswayo Valley,Port Allegany,2
Moshannon Valley,Southern Huntingdon County,2
Taylor Allderdice,Kiski Area,2
Warren,Fairview,1
MBAPC (CO-OP),Upper Darby,1
Penncrest,Wissahickon,1
Muncy,Warrior Run,2
Garden Spot,Daniel Boone,2
Littlestown,Boiling Springs,1
Williamsport,Central Mountain,1
Northern York,East Pennsboro,1
Neumann-Goretti,Bloomsburg,1
Waynesboro,Red Land,1
Central Bucks East,Quakertown,1
Bishop Canevin,Carlynton,2
Lower Moreland,Academy at Palumbo,2
Dallastown,Hempfield,2
Canon-McMillan,Thomas Jefferson,2
Karns City,Brockway,1
Ridley,Cooper City,1
North Allegheny,Friendship Collegiate Academy,1
Pottstown,Octorara Area,1
Olney,Harry S. Truman,2
William Penn,Central Catholic,2
USO (CO-OP),Farrell,1
Montgomery,South Williamsport,2
South Western,Gettysburg,2
Lower Merion,Upper Merion Area,2
West Shamokin,Purchase Line,2
Rochester,New Brighton,2
Tri-Valley,Mahanoy Area,1
Oil City,Conneaut Area,1
Montoursville,North Penn-Mansfield,1
North Schuylkill,Loyalsock Township,1
Neshannock,Avonworth,2
Methacton,Harriton,1
Reading,Kutztown,1
Glendale,Williamsburg,1
Norwin,Penn-Trafford,2
Monessen,Greensburg Central Catholic,2
Hanover,Susquehannock,2
Union/Allegheny-Clarion Valley,Cloudersport,2
Lackawanna Trail,Northwest Area,2
Saltsburg,Marion Center,2
Pennridge,Delaware Valley,1
California,Bethelhem Center,1
Emmaus,William Allen,1
Biglerville,Big Spring,2
Shenango,Union Area,1
Sheffield,Smethport,2
Plum,Highlands,1
Shikellamy,Danville,2
Lake-Lehman,Western Wayne,2
Blue Mountain,Muhlenberg,1
Bishop McDevitt,Central,1
Valley View,Wallenpaupack Area,1
